date,store_id,store_name,product_id,product_name,category,sales_units,price,discount,revenue,is_promo,is_holiday,day_of_week,month,quarter,day_of_month,week_of_year
2023-02-12,1,Магазин_1,1,Товар_1,Книги,14,686,0.0,9604,0,0,6,2,1,12,6
2023-02-13,1,Магазин_1,1,Товар_1,Книги,13,955,0.0,12415,0,0,0,2,1,13,7
2023-02-14,1,Магазин_1,1,Товар_1,Книги,15,716,0.0,10740,0,0,1,2,1,14,7
2023-02-15,1,Магазин_1,1,Товар_1,Книги,14,757,0.0,10598,0,0,2,2,1,15,7
2023-02-16,1,Магазин_1,1,Товар_1,Книги,14,668,0.0,9352,0,0,3,2,1,16,7
2023-02-17,1,Магазин_1,1,Товар_1,Книги,19,742,0.0,14098,0,0,4,2,1,17,7
2023-02-18,1,Магазин_1,1,Товар_1,Книги,15,856,0.0,12840,0,0,5,2,1,18,7
2023-02-19,1,Магазин_1,1,Товар_1,Книги,14,803,0.0,11242,0,0,6,2,1,19,7
2023-02-20,1,Магазин_1,1,Товар_1,Книги,9,861,0.0,7749,0,0,0,2,1,20,8
2023-02-21,1,Магазин_1,1,Товар_1,Книги,14,939,0.0,13146,0,0,1,2,1,21,8
2023-02-22,1,Магазин_1,1,Товар_1,Книги,10,935,0.0,9350,0,0,2,2,1,22,8
2023-02-23,1,Магазин_1,1,Товар_1,Книги,22,722,0.15,15884,1,0,3,2,1,23,8
2023-02-24,1,Магазин_1,1,Товар_1,Книги,13,809,0.0,10517,0,0,4,2,1,24,8
2023-02-25,1,Магазин_1,1,Товар_1,Книги,22,669,0.0,14718,0,0,5,2,1,25,8
2023-02-26,1,Магазин_1,1,Товар_1,Книги,29,748,0.15,21692,1,0,6,2,1,26,8
2023-02-27,1,Магазин_1,1,Товар_1,Книги,17,872,0.0,14824,0,0,0,2,1,27,9
2023-02-28,1,Магазин_1,1,Товар_1,Книги,26,845,0.15,21970,1,0,1,2,1,28,9
2023-03-01,1,Магазин_1,1,Товар_1,Книги,14,691,0.0,9674,0,0,2,3,1,1,9
2023-03-02,1,Магазин_1,1,Товар_1,Книги,24,641,0.15,15384,1,0,3,3,1,2,9
2023-03-03,1,Магазин_1,1,Товар_1,Книги,11,815,0.0,8965,0,0,4,3,1,3,9
2023-03-04,1,Магазин_1,1,Товар_1,Книги,13,867,0.0,11271,0,0,5,3,1,4,9
2023-03-05,1,Магазин_1,1,Товар_1,Книги,18,744,0.0,13392,0,0,6,3,1,5,9
2023-03-06,1,Магазин_1,1,Товар_1,Книги,16,850,0.0,13600,0,0,0,3,1,6,10
2023-03-07,1,Магазин_1,1,Товар_1,Книги,15,669,0.0,10035,0,0,1,3,1,7,10
2023-03-08,1,Магазин_1,1,Товар_1,Книги,11,951,0.0,10461,0,0,2,3,1,8,10
2023-03-09,1,Магазин_1,1,Товар_1,Книги,11,925,0.0,10175,0,0,3,3,1,9,10
2023-03-10,1,Магазин_1,1,Товар_1,Книги,14,824,0.0,11536,0,0,4,3,1,10,10
2023-03-11,1,Магазин_1,1,Товар_1,Книги,21,702,0.0,14742,0,0,5,3,1,11,10
2023-03-12,1,Магазин_1,1,Товар_1,Книги,13,940,0.0,12220,0,0,6,3,1,12,10
2023-03-13,1,Магазин_1,1,Товар_1,Книги,25,932,0.15,23300,1,0,0,3,1,13,11
2023-03-14,1,Магазин_1,1,Товар_1,Книги,15,948,0.0,14220,0,0,1,3,1,14,11
2023-03-15,1,Магазин_1,1,Товар_1,Книги,23,734,0.15,16882,1,0,2,3,1,15,11
2023-03-16,1,Магазин_1,1,Товар_1,Книги,12,694,0.0,8328,0,0,3,3,1,16,11
2023-03-17,1,Магазин_1,1,Товар_1,Книги,16,939,0.0,15024,0,0,4,3,1,17,11
2023-03-18,1,Магазин_1,1,Товар_1,Книги,14,836,0.0,11704,0,0,5,3,1,18,11
2023-03-19,1,Магазин_1,1,Товар_1,Книги,27,684,0.15,18468,1,0,6,3,1,19,11
2023-03-20,1,Магазин_1,1,Товар_1,Книги,15,863,0.0,12945,0,0,0,3,1,20,12
2023-03-21,1,Магазин_1,1,Товар_1,Книги,16,755,0.0,12080,0,0,1,3,1,21,12
2023-03-22,1,Магазин_1,1,Товар_1,Книги,16,917,0.0,14672,0,0,2,3,1,22,12
2023-03-23,1,Магазин_1,1,Товар_1,Книги,26,803,0.15,20878,1,0,3,3,1,23,12
2023-03-24,1,Магазин_1,1,Товар_1,Книги,16,864,0.0,13824,0,0,4,3,1,24,12
2023-03-25,1,Магазин_1,1,Товар_1,Книги,23,924,0.0,21252,0,0,5,3,1,25,12
2023-03-26,1,Магазин_1,1,Товар_1,Книги,17,825,0.0,14025,0,0,6,3,1,26,12
2023-03-27,1,Магазин_1,1,Товар_1,Книги,15,788,0.0,11820,0,0,0,3,1,27,13
2023-03-28,1,Магазин_1,1,Товар_1,Книги,18,649,0.0,11682,0,0,1,3,1,28,13
2023-03-29,1,Магазин_1,1,Товар_1,Книги,11,903,0.0,9933,0,0,2,3,1,29,13
2023-03-30,1,Магазин_1,1,Товар_1,Книги,16,886,0.0,14176,0,0,3,3,1,30,13
2023-03-31,1,Магазин_1,1,Товар_1,Книги,13,839,0.0,10907,0,0,4,3,1,31,13
2023-04-01,1,Магазин_1,1,Товар_1,Книги,17,813,0.0,13821,0,0,5,4,2,1,13
2023-04-02,1,Магазин_1,1,Товар_1,Книги,15,872,0.0,13080,0,0,6,4,2,2,13
2023-04-03,1,Магазин_1,1,Товар_1,Книги,18,894,0.15,16092,1,0,0,4,2,3,14
2023-04-04,1,Магазин_1,1,Товар_1,Книги,15,780,0.0,11700,0,0,1,4,2,4,14
2023-04-05,1,Магазин_1,1,Товар_1,Книги,16,770,0.0,12320,0,0,2,4,2,5,14
2023-04-06,1,Магазин_1,1,Товар_1,Книги,17,690,0.0,11730,0,0,3,4,2,6,14
2023-04-07,1,Магазин_1,1,Товар_1,Книги,20,851,0.0,17020,0,0,4,4,2,7,14
2023-04-08,1,Магазин_1,1,Товар_1,Книги,19,945,0.0,17955,0,0,5,4,2,8,14
2023-04-09,1,Магазин_1,1,Товар_1,Книги,24,774,0.0,18576,0,0,6,4,2,9,14
2023-04-10,1,Магазин_1,1,Товар_1,Книги,18,753,0.0,13554,0,0,0,4,2,10,15
2023-04-11,1,Магазин_1,1,Товар_1,Книги,16,791,0.0,12656,0,0,1,4,2,11,15
2023-04-12,1,Магазин_1,1,Товар_1,Книги,17,797,0.0,13549,0,0,2,4,2,12,15
2023-04-13,1,Магазин_1,1,Товар_1,Книги,14,767,0.0,10738,0,0,3,4,2,13,15
2023-04-14,1,Магазин_1,1,Товар_1,Книги,11,843,0.0,9273,0,0,4,4,2,14,15
2023-04-15,1,Магазин_1,1,Товар_1,Книги,22,801,0.0,17622,0,0,5,4,2,15,15
2023-04-16,1,Магазин_1,1,Товар_1,Книги,23,850,0.15,19550,1,0,6,4,2,16,15
2023-04-17,1,Магазин_1,1,Товар_1,Книги,15,648,0.0,9720,0,0,0,4,2,17,16
2023-04-18,1,Магазин_1,1,Товар_1,Книги,13,940,0.0,12220,0,0,1,4,2,18,16
2023-04-19,1,Магазин_1,1,Товар_1,Книги,19,786,0.0,14934,0,0,2,4,2,19,16
2023-04-20,1,Магазин_1,1,Товар_1,Книги,11,941,0.0,10351,0,0,3,4,2,20,16
2023-04-21,1,Магазин_1,1,Товар_1,Книги,15,662,0.0,9930,0,0,4,4,2,21,16
2023-04-22,1,Магазин_1,1,Товар_1,Книги,16,910,0.0,14560,0,0,5,4,2,22,16
2023-04-23,1,Магазин_1,1,Товар_1,Книги,16,677,0.0,10832,0,0,6,4,2,23,16
2023-04-24,1,Магазин_1,1,Товар_1,Книги,17,841,0.0,14297,0,0,0,4,2,24,17
2023-04-25,1,Магазин_1,1,Товар_1,Книги,29,730,0.15,21170,1,0,1,4,2,25,17
2023-04-26,1,Магазин_1,1,Товар_1,Книги,18,880,0.0,15840,0,0,2,4,2,26,17
2023-04-27,1,Магазин_1,1,Товар_1,Книги,16,759,0.0,12144,0,0,3,4,2,27,17
2023-04-28,1,Магазин_1,1,Товар_1,Книги,17,749,0.0,12733,0,0,4,4,2,28,17
2023-04-29,1,Магазин_1,1,Товар_1,Книги,29,880,0.15,25520,1,0,5,4,2,29,17
2023-04-30,1,Магазин_1,1,Товар_1,Книги,23,672,0.0,15456,0,0,6,4,2,30,17
2023-05-01,1,Магазин_1,1,Товар_1,Книги,28,742,0.15,20776,1,0,0,5,2,1,18
2023-05-02,1,Магазин_1,1,Товар_1,Книги,24,764,0.15,18336,1,0,1,5,2,2,18
2023-05-03,1,Магазин_1,1,Товар_1,Книги,15,944,0.0,14160,0,0,2,5,2,3,18
2023-05-04,1,Магазин_1,1,Товар_1,Книги,14,842,0.0,11788,0,0,3,5,2,4,18
2023-05-05,1,Магазин_1,1,Товар_1,Книги,11,855,0.0,9405,0,0,4,5,2,5,18
2023-05-06,1,Магазин_1,1,Товар_1,Книги,14,893,0.0,12502,0,0,5,5,2,6,18
2023-05-07,1,Магазин_1,1,Товар_1,Книги,17,658,0.0,11186,0,0,6,5,2,7,18
2023-05-08,1,Магазин_1,1,Товар_1,Книги,11,781,0.0,8591,0,0,0,5,2,8,19
2023-05-09,1,Магазин_1,1,Товар_1,Книги,22,685,0.15,15070,1,0,1,5,2,9,19
2023-05-10,1,Магазин_1,1,Товар_1,Книги,13,837,0.0,10881,0,0,2,5,2,10,19
2023-05-11,1,Магазин_1,1,Товар_1,Книги,15,663,0.0,9945,0,0,3,5,2,11,19
2023-05-12,1,Магазин_1,1,Товар_1,Книги,12,865,0.0,10380,0,0,4,5,2,12,19
2023-05-13,1,Магазин_1,1,Товар_1,Книги,13,900,0.0,11700,0,0,5,5,2,13,19
2023-05-14,1,Магазин_1,1,Товар_1,Книги,23,955,0.15,21965,1,0,6,5,2,14,19
2023-05-15,1,Магазин_1,1,Товар_1,Книги,12,888,0.0,10656,0,0,0,5,2,15,20
2023-05-16,1,Магазин_1,1,Товар_1,Книги,13,775,0.0,10075,0,0,1,5,2,16,20
2023-05-17,1,Магазин_1,1,Товар_1,Книги,24,643,0.15,15432,1,0,2,5,2,17,20
2023-05-18,1,Магазин_1,1,Товар_1,Книги,11,658,0.0,7238,0,0,3,5,2,18,20
2023-05-19,1,Магазин_1,1,Товар_1,Книги,15,878,0.0,13170,0,0,4,5,2,19,20
2023-05-20,1,Магазин_1,1,Товар_1,Книги,14,947,0.0,13258,0,0,5,5,2,20,20
2023-05-21,1,Магазин_1,1,Товар_1,Книги,19,711,0.0,13509,0,0,6,5,2,21,20
2023-05-22,1,Магазин_1,1,Товар_1,Книги,22,643,0.15,14146,1,0,0,5,2,22,21
2023-05-23,1,Магазин_1,1,Товар_1,Книги,24,663,0.15,15912,1,0,1,5,2,23,21
2023-05-24,1,Магазин_1,1,Товар_1,Книги,14,950,0.0,13300,0,0,2,5,2,24,21
2023-05-25,1,Магазин_1,1,Товар_1,Книги,20,785,0.0,15700,0,0,3,5,2,25,21
2023-05-26,1,Магазин_1,1,Товар_1,Книги,18,826,0.0,14868,0,0,4,5,2,26,21
2023-05-27,1,Магазин_1,1,Товар_1,Книги,35,728,0.15,25480,1,0,5,5,2,27,21
2023-05-28,1,Магазин_1,1,Товар_1,Книги,16,788,0.0,12608,0,0,6,5,2,28,21
2023-05-29,1,Магазин_1,1,Товар_1,Книги,13,951,0.0,12363,0,0,0,5,2,29,22
2023-05-30,1,Магазин_1,1,Товар_1,Книги,26,863,0.15,22438,1,0,1,5,2,30,22
2023-05-31,1,Магазин_1,1,Товар_1,Книги,18,859,0.0,15462,0,0,2,5,2,31,22
2023-06-01,1,Магазин_1,1,Товар_1,Книги,11,931,0.0,10241,0,0,3,6,2,1,22
2023-06-02,1,Магазин_1,1,Товар_1,Книги,9,938,0.0,8442,0,0,4,6,2,2,22
2023-06-03,1,Магазин_1,1,Товар_1,Книги,31,654,0.15,20274,1,0,5,6,2,3,22
2023-06-04,1,Магазин_1,1,Товар_1,Книги,19,955,0.0,18145,0,0,6,6,2,4,22
2023-06-05,1,Магазин_1,1,Товар_1,Книги,11,830,0.0,9130,0,0,0,6,2,5,23
2023-06-06,1,Магазин_1,1,Товар_1,Книги,12,772,0.0,9264,0,0,1,6,2,6,23
2023-06-07,1,Магазин_1,1,Товар_1,Книги,16,658,0.0,10528,0,0,2,6,2,7,23
2023-06-08,1,Магазин_1,1,Товар_1,Книги,23,886,0.15,20378,1,0,3,6,2,8,23
2023-06-09,1,Магазин_1,1,Товар_1,Книги,23,911,0.15,20953,1,0,4,6,2,9,23
2023-06-10,1,Магазин_1,1,Товар_1,Книги,12,945,0.0,11340,0,0,5,6,2,10,23
2023-06-11,1,Магазин_1,1,Товар_1,Книги,15,713,0.0,10695,0,0,6,6,2,11,23
2023-06-12,1,Магазин_1,1,Товар_1,Книги,8,676,0.0,5408,0,0,0,6,2,12,24
2023-06-13,1,Магазин_1,1,Товар_1,Книги,16,806,0.0,12896,0,0,1,6,2,13,24
2023-06-14,1,Магазин_1,1,Товар_1,Книги,16,816,0.0,13056,0,0,2,6,2,14,24
2023-06-15,1,Магазин_1,1,Товар_1,Книги,12,920,0.0,11040,0,0,3,6,2,15,24
2023-06-16,1,Магазин_1,1,Товар_1,Книги,14,865,0.0,12110,0,0,4,6,2,16,24
2023-06-17,1,Магазин_1,1,Товар_1,Книги,19,683,0.0,12977,0,0,5,6,2,17,24
2023-06-18,1,Магазин_1,1,Товар_1,Книги,18,765,0.0,13770,0,0,6,6,2,18,24
2023-06-19,1,Магазин_1,1,Товар_1,Книги,7,929,0.0,6503,0,0,0,6,2,19,25
2023-06-20,1,Магазин_1,1,Товар_1,Книги,16,766,0.0,12256,0,0,1,6,2,20,25
2023-06-21,1,Магазин_1,1,Товар_1,Книги,12,915,0.0,10980,0,0,2,6,2,21,25
2023-06-22,1,Магазин_1,1,Товар_1,Книги,17,786,0.15,13362,1,0,3,6,2,22,25
2023-06-23,1,Магазин_1,1,Товар_1,Книги,22,797,0.15,17534,1,0,4,6,2,23,25
2023-06-24,1,Магазин_1,1,Товар_1,Книги,11,664,0.0,7304,0,0,5,6,2,24,25
2023-06-25,1,Магазин_1,1,Товар_1,Книги,19,680,0.0,12920,0,0,6,6,2,25,25
2023-06-26,1,Магазин_1,1,Товар_1,Книги,15,698,0.0,10470,0,0,0,6,2,26,26
2023-06-27,1,Магазин_1,1,Товар_1,Книги,11,926,0.0,10186,0,0,1,6,2,27,26
2023-06-28,1,Магазин_1,1,Товар_1,Книги,10,701,0.0,7010,0,0,2,6,2,28,26
2023-06-29,1,Магазин_1,1,Товар_1,Книги,15,694,0.0,10410,0,0,3,6,2,29,26
2023-06-30,1,Магазин_1,1,Товар_1,Книги,13,706,0.0,9178,0,0,4,6,2,30,26
2023-07-01,1,Магазин_1,1,Товар_1,Книги,11,801,0.0,8811,0,0,5,7,3,1,26
2023-07-02,1,Магазин_1,1,Товар_1,Книги,12,919,0.0,11028,0,0,6,7,3,2,26
2023-07-03,1,Магазин_1,1,Товар_1,Книги,22,659,0.15,14498,1,0,0,7,3,3,27
2023-07-04,1,Магазин_1,1,Товар_1,Книги,13,699,0.0,9087,0,0,1,7,3,4,27
2023-07-05,1,Магазин_1,1,Товар_1,Книги,13,758,0.0,9854,0,0,2,7,3,5,27
2023-07-06,1,Магазин_1,1,Товар_1,Книги,6,788,0.0,4728,0,0,3,7,3,6,27
2023-07-07,1,Магазин_1,1,Товар_1,Книги,15,651,0.0,9765,0,0,4,7,3,7,27
2023-07-08,1,Магазин_1,1,Товар_1,Книги,16,803,0.0,12848,0,0,5,7,3,8,27
2023-07-09,1,Магазин_1,1,Товар_1,Книги,15,674,0.0,10110,0,0,6,7,3,9,27
2023-07-10,1,Магазин_1,1,Товар_1,Книги,6,726,0.0,4356,0,0,0,7,3,10,28
2023-07-11,1,Магазин_1,1,Товар_1,Книги,11,646,0.0,7106,0,0,1,7,3,11,28
2023-07-12,1,Магазин_1,1,Товар_1,Книги,9,678,0.0,6102,0,0,2,7,3,12,28
2023-07-13,1,Магазин_1,1,Товар_1,Книги,17,829,0.15,14093,1,0,3,7,3,13,28
2023-07-14,1,Магазин_1,1,Товар_1,Книги,10,667,0.0,6670,0,0,4,7,3,14,28
2023-07-15,1,Магазин_1,1,Товар_1,Книги,18,827,0.0,14886,0,0,5,7,3,15,28
2023-07-16,1,Магазин_1,1,Товар_1,Книги,10,730,0.0,7300,0,0,6,7,3,16,28
2023-07-17,1,Магазин_1,1,Товар_1,Книги,10,846,0.0,8460,0,0,0,7,3,17,29
2023-07-18,1,Магазин_1,1,Товар_1,Книги,6,672,0.0,4032,0,0,1,7,3,18,29
2023-07-19,1,Магазин_1,1,Товар_1,Книги,12,718,0.0,8616,0,0,2,7,3,19,29
2023-07-20,1,Магазин_1,1,Товар_1,Книги,8,695,0.0,5560,0,0,3,7,3,20,29
2023-07-21,1,Магазин_1,1,Товар_1,Книги,17,665,0.15,11305,1,0,4,7,3,21,29
2023-07-22,1,Магазин_1,1,Товар_1,Книги,14,675,0.0,9450,0,0,5,7,3,22,29
2023-07-23,1,Магазин_1,1,Товар_1,Книги,13,950,0.0,12350,0,0,6,7,3,23,29
2023-07-24,1,Магазин_1,1,Товар_1,Книги,18,694,0.15,12492,1,0,0,7,3,24,30
2023-07-25,1,Магазин_1,1,Товар_1,Книги,14,937,0.0,13118,0,0,1,7,3,25,30
2023-07-26,1,Магазин_1,1,Товар_1,Книги,7,886,0.0,6202,0,0,2,7,3,26,30
2023-07-27,1,Магазин_1,1,Товар_1,Книги,13,743,0.0,9659,0,0,3,7,3,27,30
2023-07-28,1,Магазин_1,1,Товар_1,Книги,7,676,0.0,4732,0,0,4,7,3,28,30
2023-07-29,1,Магазин_1,1,Товар_1,Книги,15,732,0.0,10980,0,0,5,7,3,29,30
2023-07-30,1,Магазин_1,1,Товар_1,Книги,14,810,0.0,11340,0,0,6,7,3,30,30
2023-07-31,1,Магазин_1,1,Товар_1,Книги,8,747,0.0,5976,0,0,0,7,3,31,31
2023-08-01,1,Магазин_1,1,Товар_1,Книги,12,721,0.0,8652,0,0,1,8,3,1,31
2023-08-02,1,Магазин_1,1,Товар_1,Книги,8,883,0.0,7064,0,0,2,8,3,2,31
2023-08-03,1,Магазин_1,1,Товар_1,Книги,2,751,0.0,1502,0,0,3,8,3,3,31
2023-08-04,1,Магазин_1,1,Товар_1,Книги,17,905,0.15,15385,1,0,4,8,3,4,31
2023-08-05,1,Магазин_1,1,Товар_1,Книги,23,940,0.15,21620,1,0,5,8,3,5,31
2023-08-06,1,Магазин_1,1,Товар_1,Книги,10,661,0.0,6610,0,0,6,8,3,6,31
2023-08-07,1,Магазин_1,1,Товар_1,Книги,12,684,0.0,8208,0,0,0,8,3,7,32
2023-08-08,1,Магазин_1,1,Товар_1,Книги,10,704,0.0,7040,0,0,1,8,3,8,32
2023-08-09,1,Магазин_1,1,Товар_1,Книги,10,852,0.0,8520,0,0,2,8,3,9,32
2023-08-10,1,Магазин_1,1,Товар_1,Книги,8,754,0.0,6032,0,0,3,8,3,10,32
2023-08-11,1,Магазин_1,1,Товар_1,Книги,22,780,0.15,17160,1,0,4,8,3,11,32
2023-08-12,1,Магазин_1,1,Товар_1,Книги,11,788,0.0,8668,0,0,5,8,3,12,32
2023-08-13,1,Магазин_1,1,Товар_1,Книги,12,714,0.0,8568,0,0,6,8,3,13,32
2023-08-14,1,Магазин_1,1,Товар_1,Книги,24,762,0.15,18288,1,0,0,8,3,14,33
2023-08-15,1,Магазин_1,1,Товар_1,Книги,9,677,0.0,6093,0,0,1,8,3,15,33
2023-08-16,1,Магазин_1,1,Товар_1,Книги,21,840,0.15,17640,1,0,2,8,3,16,33
2023-08-17,1,Магазин_1,1,Товар_1,Книги,10,838,0.0,8380,0,0,3,8,3,17,33
2023-08-18,1,Магазин_1,1,Товар_1,Книги,7,926,0.0,6482,0,0,4,8,3,18,33
2023-08-19,1,Магазин_1,1,Товар_1,Книги,10,719,0.0,7190,0,0,5,8,3,19,33
2023-08-20,1,Магазин_1,1,Товар_1,Книги,9,650,0.0,5850,0,0,6,8,3,20,33
2023-08-21,1,Магазин_1,1,Товар_1,Книги,10,749,0.0,7490,0,0,0,8,3,21,34
2023-08-22,1,Магазин_1,1,Товар_1,Книги,9,675,0.0,6075,0,0,1,8,3,22,34
2023-08-23,1,Магазин_1,1,Товар_1,Книги,7,895,0.0,6265,0,0,2,8,3,23,34
2023-08-24,1,Магазин_1,1,Товар_1,Книги,5,713,0.0,3565,0,0,3,8,3,24,34
2023-08-25,1,Магазин_1,1,Товар_1,Книги,13,862,0.0,11206,0,0,4,8,3,25,34
2023-08-26,1,Магазин_1,1,Товар_1,Книги,17,720,0.0,12240,0,0,5,8,3,26,34
2023-08-27,1,Магазин_1,1,Товар_1,Книги,8,787,0.0,6296,0,0,6,8,3,27,34
2023-08-28,1,Магазин_1,1,Товар_1,Книги,25,689,0.15,17225,1,0,0,8,3,28,35
2023-08-29,1,Магазин_1,1,Товар_1,Книги,17,645,0.0,10965,0,0,1,8,3,29,35
2023-08-30,1,Магазин_1,1,Товар_1,Книги,20,938,0.15,18760,1,0,2,8,3,30,35
2023-08-31,1,Магазин_1,1,Товар_1,Книги,12,866,0.0,10392,0,0,3,8,3,31,35
2023-09-01,1,Магазин_1,1,Товар_1,Книги,9,824,0.0,7416,0,0,4,9,3,1,35
2023-09-02,1,Магазин_1,1,Товар_1,Книги,16,938,0.0,15008,0,0,5,9,3,2,35
2023-09-03,1,Магазин_1,1,Товар_1,Книги,19,784,0.15,14896,1,0,6,9,3,3,35
2023-09-04,1,Магазин_1,1,Товар_1,Книги,8,829,0.0,6632,0,0,0,9,3,4,36
2023-09-05,1,Магазин_1,1,Товар_1,Книги,11,657,0.0,7227,0,0,1,9,3,5,36
2023-09-06,1,Магазин_1,1,Товар_1,Книги,5,811,0.0,4055,0,0,2,9,3,6,36
2023-09-07,1,Магазин_1,1,Товар_1,Книги,13,750,0.15,9750,1,0,3,9,3,7,36
2023-09-08,1,Магазин_1,1,Товар_1,Книги,7,711,0.0,4977,0,0,4,9,3,8,36
2023-09-09,1,Магазин_1,1,Товар_1,Книги,16,685,0.0,10960,0,0,5,9,3,9,36
2023-09-10,1,Магазин_1,1,Товар_1,Книги,3,932,0.0,2796,0,0,6,9,3,10,36
2023-09-11,1,Магазин_1,1,Товар_1,Книги,8,825,0.0,6600,0,0,0,9,3,11,37
2023-09-12,1,Магазин_1,1,Товар_1,Книги,7,667,0.0,4669,0,0,1,9,3,12,37
2023-09-13,1,Магазин_1,1,Товар_1,Книги,15,800,0.15,12000,1,0,2,9,3,13,37
2023-09-14,1,Магазин_1,1,Товар_1,Книги,8,707,0.0,5656,0,0,3,9,3,14,37
2023-09-15,1,Магазин_1,1,Товар_1,Книги,18,705,0.15,12690,1,0,4,9,3,15,37
2023-09-16,1,Магазин_1,1,Товар_1,Книги,11,820,0.0,9020,0,0,5,9,3,16,37
2023-09-17,1,Магазин_1,1,Товар_1,Книги,9,888,0.0,7992,0,0,6,9,3,17,37
2023-09-18,1,Магазин_1,1,Товар_1,Книги,0,768,0.0,0,0,0,0,9,3,18,38
